model_name,domain,ndcg@5,ndcg@10,recall@1,recall@5,recall@10,num_eval_queries,num_queries,num_corpus_scored,path
c_mp_only_final,computer_science,0.16238226018789495,0.1811707195295176,0.05738022743836708,0.1566459315877921,0.21684919516314846,1290,1290,1360,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/c_mp_only_final/computer_science.json
c_mp_only_final,energy,0.12200583775122717,0.14167424539592866,0.052001077849478834,0.14015761021255482,0.19764859107243973,1848,1848,2225,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/c_mp_only_final/energy.json
c_mp_only_final,finance_en,0.10810995138579384,0.12736771824742169,0.04855902459327071,0.10547062699697282,0.15987026254284536,1854,1854,2942,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/c_mp_only_final/finance_en.json
c_mp_only_final,finance_fr,0.0649288972490536,0.08055056035118004,0.025498380381192908,0.07229485686082357,0.1137405856237312,1920,1920,2384,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/c_mp_only_final/finance_fr.json
c_mp_only_final,hr,0.08713984365054576,0.09728867882245808,0.032955864544912804,0.08577626475370032,0.12150499184681422,1908,1908,1110,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/c_mp_only_final/hr.json
c_mp_only_final,industrial,0.07819248817880066,0.08617628148889865,0.036049859216820385,0.07595700354696945,0.10436350600958647,1698,1698,5244,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/c_mp_only_final/industrial.json
c_mp_only_final,pharmaceuticals,0.14861538587966236,0.16140484233311111,0.07176838344442718,0.14730773842734274,0.19320355036731965,2184,2184,2313,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/c_mp_only_final/pharmaceuticals.json
c_mp_only_final,physics,0.10955071899548235,0.12468693905141935,0.03344161808558934,0.09683928238883364,0.1441199544095893,1812,1812,1674,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/c_mp_only_final/physics.json
d_1k_best,computer_science,0.1732817840955624,0.19567899543173764,0.0632220170010869,0.16549960160425278,0.23643374282909146,1290,1290,1360,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/d_1k_best/computer_science.json
d_1k_best,energy,0.1410791562293784,0.15946241734416922,0.06581956181547828,0.1527445492039745,0.21075625592873612,1848,1848,2225,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/d_1k_best/energy.json
